Trip_Miles,Trip_Minutes,Pickup_Hour,Tips,Fare
1.22,2.9,12,2.61,8.6
7.91,19.1,7,2.07,23.12
4.66,11.2,23,0.01,13.74
7.37,17.8,10,0.46,20.29
9.79,23.6,9,3.55,28.83
5.62,13.5,3,2.62,18.52
5.26,12.7,0,3.48,18.56
1.18,2.8,7,4.78,10.68
3.05,7.3,23,3.41,13.52
5.25,12.7,23,0.27,15.33
6.95,16.7,0,1.54,20.43
8.14,19.6,21,2.96,24.52
4.12,9.9,4,1.18,13.7
1.13,2.7,3,4.82,10.61
3.24,7.8,1,4.73,15.27
9.14,22.0,3,4.24,28.06
2.53,6.1,1,2.36,11.3
4.8,11.6,19,4.21,18.26
9.35,22.5,4,0.66,24.95
0.74,1.8,19,1.54,6.46
6.21,15.0,1,2.31,19.53
9.53,23.0,5,3.71,28.4
2.69,6.5,9,2.43,11.73
5.71,13.8,17,0.68,16.78
9.14,22.0,2,1.72,25.54
1.77,4.3,19,1.62,8.85
5.47,13.2,18,1.5,17.06
7.63,18.4,18,0.83,21.25
6.86,16.5,21,2.07,20.76
4.94,11.9,23,2.24,16.6
